feature,non_positive_frac,min,max,orders_of_magnitude,mean,std,skewness,kurtosis,corr_value_roll_var,corr_value_roll_abs_dev,log_skewness,log_kurtosis,qq_r,qq_r_log,skewness_reduction,kurtosis_reduction,qq_r_improvement,log_candidate,log_possible,has_negatives
cme_last_cme_v_med,0.013471456233743824,0.0,2016.0,,597.7196748445479,453.1036541228325,1.7741213036081878,2.620000946252299,,,-3.349609531707053,20.60387332003937,0.8830362368843698,0.8440692480962219,-1.5754882280988654,-17.983872373787072,-0.03896698878814797,False,True,False
cme_max_last_cme_v_med_12h,0.013471456233743824,0.0,2016.0,,608.2656458694138,453.4953968592936,1.7458349580566273,2.50651820381879,,,-3.439263938815688,21.318015600760504,0.885189092157212,0.8387580421933316,-1.6934289807590606,-18.811497396941714,-0.046431049963880366,False,True,False
imf_solar_wind_speed,0.010934374580614652,0.0,1187.8898119656544,,429.34671655763356,112.0015509415115,0.20239560876752707,2.1556249441662914,,,-7.809915439788039,67.44186658570328,0.9723131177256864,0.5833238416278529,-7.607519831020512,-65.28624164153699,-0.3889892760978335,False,True,False
dst_dst,0.7896586762440967,-422.0,77.0,,-12.746758350960832,20.87740649882183,-3.353114964348197,29.556924449062805,,,,,0.9094548805914254,,,,,False,False,True
dst_dst_mean_6h,0.7829101668594508,-400.1666666666667,53.0,,-12.746855275574786,19.95310503931658,-3.3527002488051734,28.291876414308337,,,,,0.9080185436618895,,,,,False,False,True
dst_dst_derivative,0.5413889403689952,-215.0,235.0,,3.834380332185149e-05,6.8887659424256045,-0.4903125326629626,102.95408801117259,,,,,0.8220050030151865,,,,,False,False,True
kp_ap_3h_change,0.8680206289661871,-220.0,373.0,,6.390633886975249e-06,6.3513074406694985,2.335508061928343,280.62882247097826,,,,,0.5334198003673483,,,,,False,False,True
sunspot_ssn_slope_27d,0.5599665130784323,-8.222222222222221,10.185185185185185,,-0.01194125445302917,1.6713689832776504,0.13037176775534587,2.2930005593550105,,,,,0.9861126997662698,,,,,False,False,True
sunspot_ssn_trend_1296h,0.5478498712287272,-5.851851851851852,4.333333333333333,,-0.011132602576182874,0.9329284299713859,0.04535054546396489,2.733934628659206,,,,,0.9817122955897645,,,,,False,False,True
imf_solar_wind_bx_gse,0.4954338920877562,-41.112267303466794,33.28686625162761,,0.04230079680803409,3.5313879541488373,-0.07412180700205653,2.0697473438308176,,,,,0.9923046434848044,,,,,False,False,True
imf_solar_wind_by_gse,0.49595792406648814,-46.819400024414065,41.05153325398763,,0.055589789177628815,3.8583360713879604,0.17104227600882999,3.5898699090172315,,,,,0.9869914403630545,,,,,False,False,True
imf_solar_wind_bz_gse,0.49523578243725996,-69.56473337809244,48.75286699930827,,0.01814709042169811,3.0847919923538827,-0.37705973854546665,13.842490834676493,,,,,0.9524508928291215,,,,,False,False,True
imf_solar_wind_clock_angle,0.49595792406648814,-3.1415926522038964,3.141477277365385,,-0.0024115640478152007,1.7422289917208282,-0.01019263193907924,-1.3184112750908912,,,,,0.9718230482112286,,,,,False,False,True
imf_solar_wind_ey,0.5105285693287918,-30524.55237168127,31627.928085482185,,-8.431454479765538,1421.3565666316322,0.2959132966748458,35.669346156529016,,,,,0.9257222225018498,,,,,False,False,True
imf_solar_wind_delta_bz,0.5009234465966679,-57.67953402201334,46.10559994578362,,-7.340282043816317e-06,2.264360798450497,-0.23164911571197289,23.017675098838744,,,,,0.9229214541436237,,,,,False,False,True
imf_solar_wind_bz_min_6h,0.8359460374874583,-69.56473337809244,22.773333485921224,,-2.0676240650790576,2.9445823959687045,-2.535653589859476,31.328916878789776,,,,,0.9179079797110431,,,,,False,False,True
imf_solar_wind_ey_mean_6h,0.5140434179666281,-20541.44780632262,25804.278286718705,,-8.44046726889525,1110.041081115381,0.3265687987577946,42.3055991183125,,,,,0.8637406030455815,,,,,False,False,True
radio_flux_df107_24h,0.5271122642654925,-760.0999999999999,784.0999999999999,,-0.008434358604029935,16.671891122668995,-2.7425141000998017,618.448103770874,,,,,0.5419613388962149,,,,,False,False,True
radio_flux_f107_delta_24h,0.5271122642654925,-760.0999999999999,784.0999999999999,,-0.008434358604029935,16.671891122668995,-2.7425141000998017,618.448103770874,,,,,0.5419613388962149,,,,,False,False,True
radio_flux_f107_anomaly_72h,0.528537375622288,-212.64583333333334,778.7222222222222,,-0.013867560148291077,13.323817787701639,15.4110498519196,630.0976675097883,,,,,0.7541439797555312,,,,,False,False,True
